Team,Average_EPA,Success_Rate,Yards_Per_Play,Touchdowns,Turnovers,Offense_Score
SF,0.16556560667238335,0.50251677852349,6.672818791946309,70.0,20.0,1.5681015952825004
MIA,0.08043077949233941,0.4639269406392694,6.488584474885845,62.0,26.0,1.4771103669151198
DET,0.07904921657957543,0.4694189602446483,6.0474006116207955,71.0,23.0,1.3898304186873414
BUF,0.1149879560073513,0.49474535165723527,5.764753435731609,58.0,27.0,1.358868270647168
BAL,0.06281993743540183,0.4700926705981466,5.898904802021904,59.0,22.0,1.3522187303015256
DAL,0.10250385605765412,0.4811715481171548,5.739748953974895,56.0,17.0,1.3435531832589527
GB,0.07765525816640378,0.44896193771626297,5.743944636678201,50.0,18.0,1.322305137733721
LA,0.05085116456345181,0.4476439790575916,5.717277486910994,47.0,17.0,1.3031742733812022
KC,0.0279376464434856,0.4357034795763994,5.712556732223903,49.0,30.0,1.2871912135394434
SEA,0.016406908833893032,0.43902439024390244,5.594512195121951,34.0,15.0,1.2588132105145076
PHI,0.04376249848058376,0.45164075993091535,5.450777202072539,49.0,27.0,1.2475289176340743
MIN,-0.04061648548643533,0.4242709313264346,5.572906867356538,38.0,33.0,1.2215544101260205
HOU,-0.026258476078466115,0.4034334763948498,5.493562231759657,42.0,15.0,1.2066132512311531
TB,-0.0008887690874610828,0.40500863557858374,5.335060449050086,42.0,20.0,1.188070295939862
CIN,-0.010156321663262635,0.43992248062015504,5.271317829457364,40.0,16.0,1.181162149245888
NO,-0.013633396681598,0.42105263157894735,5.233212341197822,43.0,16.0,1.1661415593724498
IND,-0.03549887820394094,0.40846366145354185,5.287948482060718,38.0,18.0,1.1623793557462356
JAX,-0.07033108374347903,0.42105263157894735,5.26043557168784,40.0,29.0,1.1432373619395126
ATL,-0.09889579120935728,0.41089566020313945,5.259464450600185,32.0,28.0,1.1257136925763003
PIT,-0.07765418895826565,0.41869158878504675,5.164485981308411,31.0,17.0,1.1196775784180637
ARI,-0.07129560704468345,0.40522875816993464,5.157796451914099,38.0,17.0,1.1174801143114585
DEN,-0.05809926221600062,0.42115768463073855,5.090818363273453,37.0,20.0,1.1154613469359118
CHI,-0.04878972432630486,0.41781450872359965,5.065197428833793,39.0,24.0,1.113988976220686
LAC,-0.07593999287074356,0.4096715328467153,5.122262773722627,38.0,20.0,1.1093840181631685
TEN,-0.047197988657653345,0.39735772357723576,5.010162601626016,32.0,17.0,1.0976408430695472
WAS,-0.10565660415868719,0.41037735849056606,5.025471698113208,44.0,30.0,1.0753792450904678
LV,-0.09705627067078387,0.41223671013039115,4.957873620862588,32.0,24.0,1.0667176018762432
CLE,-0.1502727207321498,0.38848920863309355,4.841726618705036,48.0,38.0,1.0097557259648604
NE,-0.19069146568537332,0.3887795275590551,4.628937007874016,30.0,30.0,0.9470755269998331
NYG,-0.173706200638954,0.3784556720686368,4.546234509056244,27.0,17.0,0.9359305031123629
NYJ,-0.25156504378123534,0.34985700667302194,4.363203050524309,20.0,29.0,0.8518151902161507
CAR,-0.1766690867887317,0.3756855575868373,4.131627056672761,25.0,20.0,0.8506965352162376
