Team,Offensive_Plays,Average_EPA,Total_EPA,Success_Rate,Yards_Per_Play,Total_Yards,Touchdowns,Turnovers,Interceptions,Fumbles_Lost,Sacks_Taken,Defensive_Plays,Defensive_EPA_Allowed,Yards_Allowed_Per_Play,Defensive_Success_Rate_Allowed,Takeaways,Sacks_Created,Touchdowns_Allowed,Turnover_Margin,EPA_Differential,Yard_Differential,Touchdown_Rate
ARI,1071,-0.07129560704468345,-76.35759514485598,0.40522875816993464,5.157796451914099,5524.0,38.0,17.0,12.0,5.0,42.0,1047,0.0852710143105476,5.787965616045845,0.47468958930276983,15.0,33.0,52.0,-2.0,-0.15656662135523103,-0.630169164131746,0.035480859010270774
ATL,1083,-0.09889579120935728,-107.10414187973393,0.41089566020313945,5.259464450600185,5696.0,32.0,28.0,17.0,11.0,40.0,1072,-0.05939737415627251,5.1138059701492535,0.3917910447761194,16.0,42.0,36.0,-12.0,-0.03949841705308477,0.14565848045093155,0.029547553093259463
BAL,1187,0.06281993743540183,74.56726573582198,0.4700926705981466,5.898904802021904,7002.0,59.0,22.0,8.0,14.0,48.0,1220,-0.14200292861059446,4.6532786885245905,0.39918032786885244,28.0,62.0,27.0,6.0,0.2048228660459963,1.2456261134973134,0.04970513900589722
BUF,1237,0.1149879560073513,142.24010158109357,0.49474535165723527,5.764753435731609,7131.0,58.0,27.0,18.0,9.0,26.0,1112,-0.06552229690922141,5.329136690647482,0.4262589928057554,32.0,55.0,39.0,5.0,0.18051025291657272,0.4356167450841264,0.04688763136620857
CAR,1094,-0.1766690867887317,-193.27598094687247,0.3756855575868373,4.131627056672761,4520.0,25.0,20.0,10.0,10.0,65.0,981,0.022973723828408628,5.137614678899083,0.43934760448521915,10.0,27.0,46.0,-10.0,-0.19964281061714031,-1.0059876222263222,0.022851919561243144
CHI,1089,-0.04878972432630486,-53.13200979134599,0.41781450872359965,5.065197428833793,5516.0,39.0,24.0,15.0,9.0,50.0,1029,-0.04149370042453152,5.373177842565598,0.4139941690962099,27.0,30.0,41.0,3.0,-0.007296023901773335,-0.30798041373180496,0.03581267217630854
CIN,1032,-0.010156321663262635,-10.481323956487039,0.43992248062015504,5.271317829457364,5440.0,40.0,16.0,14.0,2.0,50.0,1049,0.033753253006585084,6.084842707340324,0.45948522402287895,25.0,44.0,41.0,9.0,-0.04390957466984772,-0.8135248778829602,0.03875968992248062
CLE,1251,-0.1502727207321498,-187.9911736359194,0.38848920863309355,4.841726618705036,6057.0,48.0,38.0,25.0,13.0,49.0,1032,-0.1691759229792855,4.813953488372093,0.35174418604651164,26.0,49.0,45.0,-12.0,0.01890320224713568,0.027773130332943374,0.03836930455635491
DAL,1195,0.10250385605765412,122.49210798889668,0.4811715481171548,5.739748953974895,6859.0,56.0,17.0,12.0,5.0,44.0,1056,-0.08432644961220771,5.231060606060606,0.4365530303030303,26.0,46.0,47.0,9.0,0.18683030566986183,0.5086883479142887,0.04686192468619247
DEN,1002,-0.05809926221600062,-58.21546074043262,0.42115768463073855,5.090818363273453,5101.0,37.0,20.0,9.0,11.0,52.0,1072,0.019245704144757975,5.895522388059701,0.44402985074626866,24.0,42.0,45.0,4.0,-0.07734496636075859,-0.8047040247862487,0.036926147704590816
DET,1308,0.07904921657957543,103.39637528608466,0.4694189602446483,6.0474006116207955,7910.0,71.0,23.0,12.0,11.0,38.0,1211,0.003520455790865597,5.757225433526012,0.43352601156069365,26.0,49.0,53.0,3.0,0.07552876078870983,0.2901751780947839,0.054281345565749234
GB,1156,0.07765525816640378,89.76947844036278,0.44896193771626297,5.743944636678201,6640.0,50.0,18.0,13.0,5.0,30.0,1205,0.01983820977759523,5.4639004149377595,0.45726141078838173,19.0,50.0,46.0,1.0,0.05781704838880855,0.2800442217404413,0.04325259515570934
HOU,1165,-0.026258476078466115,-30.591124631413024,0.4034334763948498,5.493562231759657,6400.0,42.0,15.0,8.0,7.0,47.0,1217,-0.04333795802066656,5.19063270336894,0.40920295809367296,23.0,53.0,45.0,8.0,0.017079481942200447,0.30292952839071674,0.036051502145922745
